
A,1,2,3,4,5,6,7,8,9,10,11,12,13
F,,NG21981B-10(324),NG22224(106),NG21330-24(360),NG22268-12(592),,NG22235-12(173),WT266(391),WT279(429),WT183B-6(701),,,
F,,NG22079-6(71),NG22275(693),NG22284A-C(1022),NG22304-12(605),,NG22236-12(318),WT267NEW(833),,WT183C-6(532),,,
F,,NG22079-A(0),NG22386(17),NG22290A-C(2539),TKC307(49),,NG22255(502),,,WT183D-6(610),,,
F,,NG22079-B(0),X-NG21037(1),NG24001-18(59),X-NG21268-4(12),,,,,WT183E(1049),,,
F,,NG22158-12(226),X-NG21038(4),X-NG21368-12(78),X-NG21811(80),,,,,WT183F(533),,,
F,,,,,X-NG22348B(2),,,,,,,,

J,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,BW103(156),BW123A-C(1904),CT79973(630),CT89041(438),CT79643(552),IG021(1916),MT092(4798),CT89044(394),CT79475(610),,,
H,,BW130A-C(235),BW141C(356),WT183A(617),CT89793(631),CT89701(702),KD41017(0),WT250(136),,WT259-6(0),,,
H,,CT79371(677),BW149C(228),,,PM148(1052),,WT269(1131),,WT259A-F(4577),,,
H,,CT79975(520),BW152C(136),,,PM157(1137),,,,,,,
H,,,NG21613-12(1120),,,PM158(1310),,,,,,,
H,,,WT147D(1755),,,,,,,,,,
H,,,WT227(431),,,,,,,,,,
M,,WT231(470),WT183B-6(701),WT183C-6(532),WT021(1162),PZ010(729),CT79101(628),ET165(1120),WT282(194),WT009(268),,,
M,,,WT227(431),WT183E(1049),WT022(1314),PZ011(725),CT79103(608),WT177(118),,WT267NEW(833),,,
M,,,WT270(881),WT271(1754),,PZ012(903),ET020(707),,,,,,
M,,,,WT276(296),,PZ013(964),WT265(186),,,,,,
M,,,,,,,WT267NEW(833),,,,,,
S,,PM165(910),BT8598(292),BT120112(233),BT120114(155),BT120173(279),CT79101(628),CT79275(640),,,,,
S,,PM166(907),ET160(0),BT120113(193),BT8587(137),BT130508(244),CT79103(608),CT79371(677),,,,,
S,,PM167(988),WT270(881),,NG22449(0),BTAG1007(0),CT89041(438),CT79643(552),,,,,
S,,PM168(882),X-WT160A(4),,,,CT89044(394),CT79713(590),,,,,
S,,PM169(996),,,,,CT89580(664),WT259-6(0),,,,,
S,,PM170(1003),,,,,CT89793(631),WT259A-F(4577),,,,,
S,,PM171(995),,,,,CT89795(582),X-NG21543B(3),,,,,
S,,PM172(895),,,,,NG22156-12(911),,,,,,
S,,PM173(969),,,,,NG22156-B(10),,,,,,
S,,PM174(938),,,,,NG22156-G(10),,,,,,
S,,PM175(916),,,,,NG22156-O(10),,,,,,
S,,PM176(982),,,,,NG22156-P(10),,,,,,
S,,,,,,,NG22156-R(10),,,,,,
S,,,,,,,NG22156-Y(10),,,,,,
F,WT051(1718),TB166(0),NG22373A-6(0),BT120173(279),NG22776(80),BT130508(244),NG22156-12(911),ET165(1120),ET161(496),TB378(158),,,
F,,WT021(1162),NG22373A-C(0),WT271(1754),NG22868(0),MT092(4798),WT269(1131),NG21142-12(67),ET164(549),TKB380(132),,,
F,,WT227(431),NG22373B-6(1),WT276(296),NG22869(0),MT093(867),WT274(203),STD21142(10),TB576(1),WT228(44),,,
F,,WT237A-F(2),NG22373C-6(82),,WT120-12(273),NG21225-12(238),WT282(194),WT177(118),WT009(268),WT229(194),,,
F,,WT273(549),NG22734(229),,WT283(650),WT147D(1755),,WT250(136),WT115(0),WT231(470),,,
F,,WT288(203),STD22734A-B(24),,WT284(735),X-NG21599(33),,WT265(186),WT253(81),,,,
F,,,WT022(1314),,,,,,,,,,

K,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,CT89580(664),BW128C(313),IG064(3694),NG056C(272),IG016(174),CG020(0),IG012(224),CG003(560),WF1431B-6(513),,,
H,,NG22528A(316),PM152(759),ST064(320),PM146(1312),IG017(136),IG042(0),IG042(0),MG030(634),WF1434A(563),,,
H,,NG22528B(352),ST060-12(403),WT139-12(660),,PM157(1137),MT083(6170),IG044(128),MG046L(435),WF1435A(533),,,
H,,X-MG031(0),X-ST103-50(700),X-SL002(216),,,NG046(257),MG012(338),MG048-24(1286),WF1437A(571),,,
H,,X-NG21373B(34),,X-SL004(286),,,NG21928-24(2879),MG026(1105),,WF1437A-D(4),,,
H,,,,X-ST053-144(432),,,,MG046E(546),,WF1438A(474),,,
H,,,,X-ST103-50(700),,,,MG046G(802),,WF1441A(371),,,
H,,,,X-ST106-50(4998),,,,MG046H(695),,WF1441A-D(392),,,
H,,,,,,,,MG046J(653),,,,,
H,,,,,,,,MG050(615),,,,,
H,,,,,,,,ST123(817),,,,,
H,,,,,,,,ST123-5(0),,,,,
H,,,,,,,,ST125(790),,,,,
H,,,,,,,,ST125-5(0),,,,,
H,,,,,,,,X-MT067(144),,,,,
M,,MT058-12(695),NG21555B(635),PT012A(307),CH10723(935),WF1436C(1102),WF1431A(295),IG007A(282),MG002(496),WF1430B(783),,,
M,,NG053A-D(1576),NG21555C(681),PT012B(343),PU009D(0),WF1437A(571),WF1432A(397),IG007B(367),MT083(6170),WF1435B(672),,,
M,,NG053A-D-4(0),NG21982-12(195),WF1438B(684),WT079-12(1131),WF1437B(850),WF1433A(486),IG007D(89),WT260A(721),WF1436C(1102),,,
M,,NG21448-2-12(225),NG21982A(50),WF1439B(666),WT081-12(1090),WF1437C(1222),WF1433A-D(0),ST119A(325),,WF1437C(1222),,,
M,,NG21986-24(1609),NG21982B(49),WF1441B-6(453),,WF1438A(474),WF1435A(533),ST119A-C(0),,WF1438C-6(1013),,,
M,,NG22074-8(48),NG22105-48(2256),,,WF1438B(684),WF1436D-6(1333),ST119B(878),,WF1439C(1268),,,
M,,NG22074-A(30),NG22185-6(183),,,WF1438C-6(1013),WF1438D-6(835),ST119C(20),,WF1441C-6(930),,,
M,,NG22074-B(30),ST116(295),,,WF1439A(555),,X-IG007E(462),,,,,
M,,NG22116-24(331),,,,WF1439B(666),,,,,,,
M,,WT078(33),,,,WF1439C(1268),,,,,,,
M,,,,,,WF1440C(1387),,,,,,,
M,,,,,,WF1441A(371),,,,,,,
M,,,,,,WF1441B-6(453),,,,,,,
S,,MT014-48(3028),IG020(0),IG064(3694),CG001-24(870),IG021(1916),MI057-005-5(172),,IG014(146),,,,
S,,MT015-12(460),IG043(759),MG012(338),CG001-6(0),MI057-A31-5(40),MI057-009-5(208),,MG035(188),,,,
S,,MT058-12(695),IG044(128),MG015(170),IG012(224),MI057-A49-5(3),MI057-014(112),,ST123(817),,,,
S,,MT060(3960),MT076E(0),MG026(1105),IG016(174),MI057-C35-5(65),MI057-046(470),,ST123-5(0),,,,
S,,MT062-24(1152),MT086(189),MG048-24(1286),IG017(136),MT076A-F(0),MI057-082(446),,ST124(78),,,,
S,,MT063(259),NG21272-24(565),MG050(615),X-MT067(144),MT076B(26),MI057-152(103),,ST125(790),,,,
S,,,ST060-12(403),MT071(216),,MT076C(1),MI057-187(309),,ST125-5(0),,,,
S,,,X-CG053(0),Y-NG22402(83),,MT076D(23),MI057-227(207),,Z-WT062(29),,,,
S,,,X-IN009-12(554),,,MT076E(0),Z-MI057-B72-5(20),,,,,,
S,,,X-IN009-3(0),,,MT076F(0),Z-MI057-D36-5(2),,,,,,
S,,,X-MT022-48(73),,,NG21223-12(142),,,,,,,
F,,MT014-48(3028),BW128C(313),CG019(0),CG020(0),MG046I(998),MT083(6170),IG007D(89),IG001(98),CG003(560),,,
F,,MT060(3960),BW128D(201),CG029(44),CG034(541),MT087(0),NG21579(329),MT091(3051),MG001(456),NG21283A(81),,,
F,,MT062-24(1152),BW2136(1125),IN007-12(1716),CG036(537),NG046(257),NG21931-48(2961),NG21139-24(272),MG002(496),NG21283A-E(6),,,
F,,MT068(67),CG006(2178),MG051(500),CG046(129),NG21552B-10(132),X-NG21045B-10(85),NG21440-24(452),MG018(125),NG21283B(40),,,
F,,NG053A-D(1576),MT102(3720),X-NG21045A-10(30),IG011(1229),NG22522(1721),,NG22033A-F(942),MG030(634),NG21283C(30),,,
F,,NG053A-D-4(0),X-BW128B(0),,X-MT064(188),NG22522-K(144),,ST114(376),MG039(587),NG21283D(112),,,
F,,NG22074-8(48),,,,NG22522-P(144),,ST115(423),NG21746-24(1779),NG21283E(60),,,
F,,NG22074-A(30),,,,X-MT020-24(576),,ST117(157),X-MG021(11),STD21283(11),,,
F,,NG22074-B(30),,,,X-WT137A(82),,,,X-CG004(31),,,

L,1,2,3,4,5,6,7,8,9,10,11,12,13

H,BW02012(229),BW112A-C(853),BW118A-C(0),BW139A-C(846),NG21083-12(450),NG027-6(411),NG21039A-6(137),,,,,,
H,BW02018-12(400),BW122A-C(1555),BW140A-C(121),ST113(324),NG21085-12(1469),WF1430C(1203),NG21039B-6(126),,,,,,
H,BW121A-C(1061),BW2136(1125),BW141A-C(516),,NG22126-12(492),WF1430D-6(1441),,,,,,,
H,BW143-12(0),NG040A(248),WF1435D(922),,NG22148A-F(255),WF1431C(1110),,,,,,,
H,BW143A-C(418),NG040A-D(0),WF1439D(1884),,ST114(376),WF1432B-6(539),,,,,,,
H,NG22168B(33),NG040C(239),,,ST115(423),WF1432C(1120),,,,,,,
H,,NG040D(251),,,ST117(157),WF1432D-6(697),,,,,,,
H,,,,,X-ST111(142),WF1433C(1113),,,,,,,
H,,,,,,WF1434C(1168),,,,,,,
H,,,,,,WF1435C-6(1248),,,,,,,
H,,,,,,WF1440C(1387),,,,,,,
M,BW108A-C(228),BW122A-C(1555),BW112A-C(853),MG046A(621),BW103(156),BW160(1049),BW109A-C(255),,,,,,
M,BWB02083(1462),BW124A-C(2131),BW123A-C(1904),MG046B(389),BW150A-C(585),BW161(996),BW2137-12(1432),,,,,,
M,BWB02084(1483),BW128D(201),BW124A-C(2131),MG046C(693),BW1567A-C(756),BW161-3(0),IN001-1(2),,,,,,
M,CG001-24(870),BW151C(356),BW138-12(0),MG046D(561),BW1568-12(235),BW162(1336),IN001-11(551),,,,,,
M,CG001-6(0),IG011(1229),BW138A-C(552),MG046F(643),BW159(1034),BW162-3(0),IN001-12(114),,,,,,
M,NG049A-F(0),,BW138C(369),MG046H(695),BWB02082(1380),IN001-14(325),IN001-13(87),,,,,,
M,,,BW144A-C(536),MG046K(507),X-BW1501(60),IN001-15(320),IN001-2(490),,,,,,
M,,,BW144C(106),,,IN001-16(387),IN001-4(418),,,,,,
M,,,BW144C-12(0),,,IN001-17(532),IN001-5(346),,,,,,
M,,,BW145C(292),,,IN001-18(581),IN001-7(268),,,,,,
M,,,BW146A-C(488),,,IN001-19(640),IN001-8(131),,,,,,
M,,,BW1506-12(960),,,IN001-20(318),WF1430A(548),,,,,,
M,,,BW1506-12-1(0),,,IN001-21(612),WF1431A(295),,,,,,
M,,,BW152C(136),,,IN001-22(326),WF1432A(397),,,,,,
M,,,BW1565-12(0),,,IN001-23(399),WF1433A(486),,,,,,
M,,,BW1565A-C(852),,,IN001-28(1445),WF1433A-D(0),,,,,,
M,,,X-BW114A-C-CLIP(9),,,WF1434A(563),WF1435A(533),,,,,,
S,MT001(0),BW120A-C(0),BW103(156),BW134A(2),BW134B(78),,,,,,,,
S,X-MT080C(33),BW142A-C(82),BW104(425),NG21074C(127),BW135A(239),,,,,,,,
S,X-NG051A(30),BW151C(356),BW105(231),NG21075E(30),BW135B(75),,,,,,,,
S,X-NG051B-12(104),MT086(189),BW106(63),NG22001A-F(722),BW137-12(0),,,,,,,,
S,,PT038A-J(59),BW130A-C(235),NG22113B(2),BW137A-C(346),,,,,,,,
S,,PT038H(2371),BW1568-12(235),NG22113C(26),BW137C(564),,,,,,,,
S,,PT038K(41),,NG22148A-F(255),BW143C(562),,,,,,,,
S,,PU002A-D(51),,STD22148(11),BW147A-C(566),,,,,,,,
S,,PU020C(534),,X-NG21075D(33),BW147C(301),,,,,,,,
S,,X-BW202A-D(30),,,BW1M521-12(24),,,,,,,,
S,,X-ST106-50(4998),,,,,,,,,,,
F,BW102(63),BW116A(72),BW110-12(0),BW119A-C(0),BW134A(2),NG208A-1(0),NG21282A(23),IN011-12(402),,,,,
F,BW113A-C(407),BW116A-C(0),BW110A-C(671),BW148A-C(826),BW1506-12(960),NG208A-12(701),ST113(324),IN011B-12(0),,,,,
F,BW113C(422),BW116B(72),BW110C(509),BW148C(660),BW1506-12-1(0),NG208B-1(0),,PT047(1540),,,,,
F,BW163(812),BW144A-C(536),BW115C(259),NG22114D(13),MG046A(621),NG208B-12(872),,,,,,,
F,BW163-3(0),BW151B(67),BW117A(200),NG22114E(20),MG046A-L(102),NG208C-1(0),,,,,,,
F,ET162(945),BW151B-C(228),BW117A-C(0),NG22115A(91),MG046B(389),NG208C-12(556),,,,,,,
F,TKB414-B(4),PT038KA-50(4508),BW117B(190),NG22115B(50),MG046C(693),NG22114A(96),,,,,,,
F,,PT038KO-50(5134),BW117B-12(0),NG22115C(54),MG046D(561),NG22114B(64),,,,,,,
F,,X-BW02006L(30),BW118A(285),NG22115D(16),MG046E(546),NG22114C(20),,,,,,,
F,,X-BWB201A-D(490),BW118A-12(0),NG22115E(56),MG046F(643),NG22114F(57),,,,,,,
F,,,BW118B(285),NG22115F(0),MG046G(802),,,,,,,,
F,,,BW118C(177),Z-NG21934(1),MG046H(695),,,,,,,,
F,,,BW119A(384),,MG046I(998),,,,,,,,
F,,,BW119B(384),,MG046J(653),,,,,,,,
F,,,BW119C(336),,MG046K(507),,,,,,,,
F,,,BW149A-C(387),,MG046L(435),,,,,,,,
F,,,BW1566-12(0),,NG21083-12(450),,,,,,,,
F,,,BW1566A-C(720),,NG21085-12(1469),,,,,,,,
F,,,NG21072C(9),,NG21282C(57),,,,,,,,
F,,,NG21076A(117),,NG22113A(0),,,,,,,,
F,,,NG21076A-E(195),,NG22115A(91),,,,,,,,
F,,,NG21076B(24),,NG22126-12(492),,,,,,,,
F,,,NG21076C(81),,NG22127A(452),,,,,,,,
F,,,NG21076D(16),,NG22127A-F(86),,,,,,,,
F,,,NG21076E(69),,NG22127F(164),,,,,,,,
F,,,NG21078D(17),,WF1439A(555),,,,,,,,
F,,,NG21080D(14),,,,,,,,,,
F,,,NG21281A(24),,,,,,,,,,
F,,,NG21281E(26),,,,,,,,,,
F,,,NG22149A(506),,,,,,,,,,
F,,,NG22168A(20),,,,,,,,,,
F,,,PT017B(73),,,,,,,,,,
F,,,PU009C(41),,,,,,,,,,
F,,,WT079-12(1131),,,,,,,,,,
F,,,WT081-12(1090),,,,,,,,,,
F,,,WT139-12(660),,,,,,,,,,
F,,,X-NG21072D(8),,,,,,,,,,
F,,,X-NG21073C(16),,,,,,,,,,
F,,,X-NG21073D(10),,,,,,,,,,
F,,,X-NG22149F(36),,,,,,,,,,
F,,,Z-PU009L(4),,,,,,,,,,

M,1,2,3,4,5,6,7,8,9,10,11,12,13


O,1,2,3,4,5,6,7,8,9,10,11,12,13

F,,,,,WT251K(1165),,,,,,,,

P,1,2,3,4,5,6,7,8,9,10,11,12,13

