SKU*,Warehouse Locations,Qty In Stock
NG21718O,"H11S,",135
NG21718OB,"H11S,",215
NG21718OO,"H11S::,",
NG21718OR,"H11S,",0
NG21718P,"H11S,",260
NG21718PP,"H11S,",7
NG21718PW,"H11S,",313
NG21718Q,"H11S,",425
NG21718R,"H11S,",0
NG21718RG,"Retail room,",2
NG21718RR,"Retail room,",1
NG21718S,"H11S,",0
NG21718SB,,0
NG21718SG,,0
NG21718SY,"Kitchen #35,",0
NG21718T,"H11S,",182
NG21718TG,,0
NG21718TR,,0
NG21718U,"H11S,",803
NG21718UB,"H11S,",488
NG21718UG,"H11S,",22
NG21718UR,"H11S,",417
NG21718V,,0
NG21718VG,"Kitchen #35,Retail room,",0
NG21718VO,"H11S,",0
NG21718W,,175
NG21718X,"H11S,",55
NG21718Y,"H11S,",141
NG21718YP,"H11S,",19
NG21718YY,"H11S,",46
NG21718Z,"H11S,",367
NG21720,,0
NG21726-1,"E8F,",0
NG21732,"D7S,",8
NG21746-24,"N2M,",0
NG21746B-24,,0
NG21751-1,"Kitchen # 27,",0
NG21754-24,"A4S,",737
NG21754B-24,"D7S,",302
NG21766-12,"C7S,",849
NG21766B,,
NG21768,"H4S,",2544
NG21778,"D10M,D8F,",453
NG21779,,0
NG21781,,-70
NG21781D-24,,0
NG21811,"I5F,N2M,",80
NG21823,"I4F,",100
NG21824,"J5H,J8F,",165
NG21837-3,,1
NG21838-24,"A7S,",492
NG21839-24,"C9F,",2088
NG21840-36,"D4S,",112
NG21853,,
NG21868-12,,
NG21871-24,,0
NG21872-24,"A10S,A9H,",739
NG21872-6,"A10S,",0
NG21874-12,,0
NG21877A,,0
NG21877B,"D5H,D5S,",1048
NG21879-8,"I3S,",184
NG21887-36,"F6M,I5S,",958
NG21890-36,"I5F,",250
NG21893A-20,"A10F,B7H,",587
NG21893B-20,"B6F,",143
NG21899-1,"A4H,E10M,E7F,",198
NG21912-12,,0
NG21912D-12,,0
NG21916-1,"I5S,",12
NG21927-24,,0
NG21928-24,"A6S,K6H,",2575
NG21930-312,"G10,",0
NG21930A,"G10W,",0
NG21930B,"G10,",802
NG21930C,"G10S,",237
NG21930CR,"G10,",119
NG21930CY,"G10,",212
NG21930D,"G10,",662
NG21930E,"G10,",0
NG21930EG,"G10,",18
NG21930ER,"G10,",8
NG21930F,"G10,",791
