SKU*,Warehouse Locations,Qty In Stock
NG23412,,0
NG23417,"C7F0,",887
NG23420,"D4M,D4S0,",-4
NG23420A,"D4M,D4S0,",122
NG23420B,"D4M,D4S0,",101
NG23420C,"D4M,D4S0,",120
NG23420D,"D4M,D4S0,",122
NG23422,,0
NG23423,,-8
NG23424,"B4M,B9F,",652
NG23425,,0
NG23426,"A12M,I10F,",0
NG23426A,"A12M,I10F,",246
NG23426B,"A12M,I10F,",258
NG23427,"A12M,B9F,",224
NG23428,,0
NG23429,"A5H,B5F,",-24
NG23429A,"B5F,",57
NG23429B,"B5F,",57
NG23430,,4
NG23431,"D8F,",416
NG23434,"A10F,A9H,",121
NG23435,"C3M,G7F,G8M,",604
NG23436,,-12
NG23436A,,-4
NG23436B,,-3
NG23437,"C8S,",120
NG23438,"E8F0,G2M,",1464
NG23438A,"E8F0,G2M,",0
NG23438B,"E8F0,G2M,",0
NG23438C,"E8F0,G2M,",0
NG23439A,"B1F,",26
NG23439B,"B1F,",27
NG23440,,0
NG23442,,
NG23444,"A2F,",-11
NG23444A,"A2F,",0
NG23444B,"A2F,",0
NG23445,,
NG23446,"B8F,C7M,",703
NG23447,,
NG23448,,
NG23449,"B3M,B6F,",54
NG23450,,
NG23451,,
NG23452,,0
NG23453,,
NG23454,,
NG23455,,
NG23457,,-7
NG23458,"E7M,J1F,",-36
NG23458A,"E7M,J1F,",1694
NG23458B,"E7M,J1F,",1674
NG23460,,
NG23461,,
NG23462,,3
NG23463,,
NG23464,,
NG23465,"D3S,",228
NG23466,,
NG23467,,
NG23468,,
NG23469,"C3S,",116
NG23469C,"C3S,",54
NG23470,,0
NG23470C,"C3S,",48
NG23471,"C4S,",816
NG23472,,
NG23473,,
NG23474,,16
NG23474C,"C5S,",25
NG23475,,
NG23476,,
NG23477,"C8S,",2
NG23477A,,153
NG23477B,,149
NG23477C,,153
NG23478,,-12
NG23478A,,-15
NG23478B,,-15
NG23479,"B7F,D5M,",-15
NG23479A,"B7F,",144
NG23479B,"B7F,Kitchen #8,",140
NG23480,"F5F,",444
NG23480A,"F5F,",438
NG23480B,"F5F,",390
NG23481,"F7F,",168
NG23481A,"F7F,",120
NG23481B,"F7F,",120
NG23482,"F5S,",503
NG23483,"E8F,E9H,",318
NG23483A,"E8F,E9H,",481
NG23483B,"E8F,E9H,",482
NG23484,"B7M,B7S0,",-31
NG23484A,"B7M,B7S0,",360
NG23484B,"B7M,B7S0,kitchen2,",314
NG23485,"B10H,B7S,",-22
NG23485A,,0
NG23485B,,-13
NG23486A,"L1F0,",75
NG23486B,"L1F0,",69
NG23487,"I10F,Kitchen # 31,",-18
NG23488,"19F,",182
NG23492,"H5S,H7M,",2
NG23492A,"H5S,H7M,",-13
NG23492B,"H5S,H7M,",-13
NG23499,"A3M,H6S,",144
NG23501,"A3M,I4F0,",0
NG23501A,"A3M,I4F,",743
NG23501B,"A3M,I4F,",743
NG23505,,-12
NG23509,"B4F0,",258
NG23510,"A1F,",0
NG23510A,"A1F,",-2
NG23510B,"A1F,",-2
NG23513,"H3F,",109
NG23514,"A3M,B5S,",0
NG23514A,"A3M,B5S,",198
NG23514B,"A3M,B5S,",222
NG23515,"G2M,K7F,",0
NG23515A,"G2M,K7F,",176
NG23515B,"G2M,K7F,",173
NG23517,"A6F,B9M,",161
NG23518,,0
NG23521,"A6F,B9M,",0
NG23521A,"K1F,",80
NG23521B,"K1F,",111
NG23522,"K3F,",0
NG23522A,"K3F,",53
NG23522B,"K3F,",71
NG23523,,0
NG23523A,,0
NG23523B,,0
NG23524,,0
NG23524A,,0
NG23524B,,0
NG23527,"F8F0,",528
NG23533,"A3F,B4M,B9M,",0
NG23533A,"A3F,B4M,B9M,",95
NG23533B,"A3F,B4M,B9M,",94
NG23534,"H4M,H5F0,",256
NG23535,"A4M,I1F,",0
NG23535A,"A4M,I1F,",116
NG23535B,"A4M,I1F,",92
NG23536,"A12F,",204
NG23538,,0
NG23539,"E9H,H5S,",0
NG23539A,"E9H,H5S,",162
NG23539B,"H5S,",35
NG23542,,0
NG23542A,,0
NG23542B,,0
NG23543,"H10F0,",0
NG23543A,"H10F0,",50
NG23543B,"H10F0,",50
NG23549,,0
NG23549A,,0
NG23549B,,0
NG23550,"H10F,",0
NG23550A,"H10F,",356
NG23550B,"H10F,",356
NG24001-18,,0
NG24007,,0
NG24010-12,"A9F,",35
NG24011,,0
NG24011-12,"N2F,",268
NG24021-24,,
NG24021-6,,
NG24051,,
Q-NG21083-12,"Kitchen # 3,L5F,L5H,",0
Q-NG21085-12,"kitchen #7,L5F,L5H,",0
Q-NG21115-48,"E5F,E5M,",0
Q-NG21139-24,"N2M,",0
Q-NG21157-12,"I2S,N1F,",0
Q-NG21271-4,"I3S,",0
Q-NG21440-24,"L4S,",0
Q-NG21477-12,"3H,D2S,",0
Q-NG21701-6,"A9F,B8H,",0
Q-NG21839-24,"C9F,",0
Q-NG21872-24,"A10S,",0
Q-NG21879-8,"I3S,",0
Q-NG21890-36,"I5F,",0
Q-NG21899-1,"E6H,E7F,",0
Q-NG21928-24,"A6S,K6H,",0
Q-NG22097-24,"A7S,",0
Q-NG22099-12,"D3F,",0
Q-NG22101-12,"B2S,",0
Q-NG22126,"L5F,L5H,",0
Q-NG22156-12,"J7F,",0
Q-NG22158-12,"I2F,",0
Q-NG22498,"B4S,",0
Q-NG22533,"A9H,A9S,",0
Q-NG22650,"B3S,B5M,",0
Q-NG22714,"C2F,",0
Q-NG23201,"F8F,",0
Q-NG23372-462-1,"C4M,C5S,kitchen #19,",0
Q-NG23372-462-2,"C4M,C5S,Kitchen #19,",0
Q-NG23372-462-3,"B5S,kitchen #27,",0
Q-NG23372-73-3,"B5S,",0
Q-NG23438-78-1,"G3H,G7F,",0
Q-NG23438-78-2,"G3H,G7F,kitchen #24,",0
Q-NG23438-79-1,"G3H,G7F,",0
Q-NG23438-79-2,"G3H,G7F,kitchen #24,",0
Q-NG23480-3-1,"kitchen #24,",0
R-NG205-48,"A3S,F9F,",0
R-NG21002-12,"A10S,",0
R-NG21004-24,"A9S,",0
R-NG21006B,"I2S,",0
R-NG21023-18,"A10S,",0
R-NG21031-24,"E7S,",0
R-NG21035-12,"I2S,K7M,",0
R-NG21036-12,"I3F,K7M,",0
R-NG21055-24,"D4F,",0
R-NG21083-12,"kitchen # 18,L5F,",0
R-NG21085-12,"L5F,L5H,",0
R-NG21091-36,,0
R-NG21115-48,"E5F,E5M,",0
R-NG21139-24,"N2M,",0
R-NG21157-12,"N1F,",0
R-NG21203-24,"D9F,",0
R-NG21220-24,"B2H,D3F,",0
R-NG21232-24,"I2S,",0
R-NG21248-24,"I2F,",0
R-NG21271-4,"I3S,",0
R-NG21276-48,"C7H,D5S,",0
R-NG21302-1,"E2F,E4H,",0
R-NG21302-1-G,,6
R-NG21302-1-R,,-2
R-NG21307-24,"F9H,F9S,",0
R-NG21307-8,"F9H,F9S,",0
R-NG21330-24,"I2S,",0
R-NG21396-24,"H5F,",0
R-NG21411-12,,0
R-NG21413-24,"E3F,",0
R-NG21440-24,"L4S,",0
R-NG21471-36,"C3F,C3M,",0
R-NG21472-36,"A10F,A11H,",0
R-NG21474-48,"I3S,",0
R-NG21477-12,"3H,D2S,",0
R-NG21613-12,"E6S,J6M,",0
R-NG21652,"E7S,E8H,",0
R-NG21653-12,"E3F,E4H,",0
R-NG21656-1,"C7M,E2M,E2S,",0
R-NG21658,"C10H,E2S,",0
R-NG21701-6,"A9F,B8H,",0
R-NG21746-24,"N2M,",0
R-NG21751-1,"Kitchen # 27,",0
R-NG21754-24,"A4S,",0
R-NG21766-12,"C7S,",0
R-NG21768,"H4S,",0
R-NG21838-24,"A7S,",0
R-NG21839-24,"C9F,",0
R-NG21840-36,"D4S,",0
R-NG21887-36,"F6M,I5S,",0
R-NG21893A-20,"a10,A10F,B7H,",0
R-NG21893B-20,"A7F,",0
R-NG21899-1,"E6H,E7F,",0
R-NG21936,"C11F,",0
R-NG21959-12,,0
R-NG22001A-F,"L4S,",407
R-NG22033A-F,"J10F,",413
R-NG22068-12,"D3F,D3M,",0
R-NG22079-6,"I1H,I2F,",0
R-NG22081-48,"B8S,",0
R-NG22097-24,"A7S,",0
R-NG22099-12,"D3F,",0
R-NG22101-12,"B2S,",0
R-NG22103,"A4S,B8H,",0
R-NG22103-6,"A4S,B8H,",0
R-NG22114A-F,"G8S,",0
R-NG22136-24,"D8H,D9S,",0
R-NG22139-24,"I3S,",0
R-NG22148A-F,"L4S,",0
R-NG22156-12,"J7F,",0
R-NG22158-12,"I2F,",0
R-NG22170,"O2S,",0
R-NG22182,"D2S,",0
R-NG22212,"F7S,F8H,N2M,",0
R-NG22212-3,"F9S,N2M,",0
R-NG22235-12,"I7F,",0
R-NG22236-12,"I7F,",0
R-NG22240,"C5F,D2H,",0
R-NG22247,"B11M,D4F,D4M,D5M,",0
R-NG22269,"A4S,",0
R-NG22273-24,,0
R-NG22338,"C2S,D5H,",0
R-NG22341,"C5F,",0
R-NG22350,"C5F,C6H,",0
R-NG22359,"E8F,",0
R-NG22368,,0
R-NG22382,"Kitchen #30,",0
R-NG22394,"kitchen #31,",0
R-NG22405,"E10F,E7M,",0
R-NG22407,"A10M,A12F,kitchen4,",0
R-NG22415,"C7F0,kitchen25,",0
R-NG22415B,,0
R-NG22422,,0
R-NG22427,"J6F,",0
R-NG22431,"F7S,F9H,",0
R-NG22439,"I1H,J1F,",0
R-NG22443,"D5M,D7F,",0
R-NG22456,"A10M,A9S,",0
R-NG22476,"I2S,",0
R-NG22481,"C6F,C9H,D9H,",0
R-NG22498,"B4S,",0
R-NG22513,"C4F,",0
R-NG22520,"F3F,",0
R-NG22522,"K6F,",0
R-NG22524,"D6F,F6M,",0
R-NG22582,"C7F,",0
R-NG22632,,0
R-NG22636,,0
R-NG22640,"A4F,B10H,D9M,",0
R-NG22642,"A9F,B8M,",0
R-NG22650,"B3S,B5M,",0
R-NG22674,"C7S,Kitchen8,",0
R-NG22681,,0
R-NG22685,"B7F,",0
R-NG22686,"G6M,H2S,",0
R-NG22693,"C3S,C5M,",0
R-NG22705,"Kitchen #8,",0
R-NG22706,"C8S,",0
R-NG22714,"C2F,",579
R-NG22724,,0
R-NG22751,"E4M,E6F,",1071
R-NG22796,"B3S,B5M,",89
R-NG22829,"A10M,A7S,",0
R-NG22834,"kitchen#26,kitchen#4,",0
R-NG22904,"D2S,",267
R-NG22908,"Kitchen #28,",0
R-NG22914,"D4S,D6H,",0
R-NG22923,"C2F,",0
R-NG22925,"D3S,",0
R-NG22954,"C2F,D2M,",0
R-NG22968,"D3H,D6S,",0
R-NG22974,,0
R-NG23038,"C4S,kitchen #25,",0
R-NG23048,"I10F,",0
R-NG23051,"C8H,D2F,D3F,",0
R-NG23057,"D3S,D8M,",0
R-NG23058,"K6F,",-1
R-NG23061,"Kitchen #18,",0
R-NG23127,"H4H,H4S,",0
R-NG23129,"H3H,H4S,J4H,",0
R-NG23170,"C9H,D5F,",0
R-NG23171,"I5F0,",0
R-NG23173,"E7F,F6M,",1164
R-NG23179,"E6F,F6M,",0
R-NG23180,"C3H,D3S,",0
R-NG23199,"E4S,",0
R-NG23201,"F8F,",0
R-NG23207,,0
R-NG23210,"C2S,C7H,C7M,",0
R-NG23220,"F7S,",0
R-NG23221,"F4H,F4S,",0
R-NG23221A,"F4H,F6F,",0
R-NG23223,"C6S,",0
R-NG23223B,,0
R-NG23225,"A6S,",0
R-NG23236,"B2H,E2S,",0
R-NG23239A,"E5S,",0
R-NG23255,"F4M,F5S,",0
R-NG23286,"E4S,",0
R-NG23294,"C9H,D3S,",0
R-NG23295,"D2S,G2M,",0
R-NG23299,,0
R-NG23309,"A13F,",0
R-NG23311,"A13F,",0
R-NG23320,"B2F,",0
R-NG23338,"B5F,H8H,",0
R-NG23356,"B9F0,",0
R-NG23365,"E4S0,E7M,J2H,",0
R-NG23372,"C4M,C5S,Kitchen #19,",0
R-NG23379,"H4M,H5F0,",0
R-NG23384A,"G6S0,",0
R-NG23384B,"G6S0,",0
R-NG23385,"D1F0,",0
R-NG23410,"F2S,G3M,",0
R-NG23417,"C7F0,",0
R-NG23423,,0
R-NG23438,"E8F0,G2M,",0
R-NG23444,"A2F,",0
R-NG23462A,,0
R-NG23462B,"Kitchen #33,",0
R-NG23462C,"Kitchen #33,",0
R-NG23469,"C3S,",0
R-NG23470,,0
R-NG23470C,"Kitchen #33,",0
R-NG23471,"C4S,",0
R-NG23481,"F7F0,",0
R-NG23482,"F5S,",0
R-NG24011-12,"N2F,",0
STD053,"N1A::0,",20
STD21070S,"N4,",60
STD21074S,"N4F,",221
STD21078S,,75
STD21142,"ABOVE SHOP,",9
STD21234,"UR4,",20
STD21281,,0
STD21282,,86
STD21283,,0
STD21483,,-2
STD22001,,14
STD22012,"L5F,",23
STD22033,,25
STD22044,"D4,",17
STD22062,"L5F,",4
STD22089,"B3F,up shop,",11
STD22114,,1
STD22115,"L4F,",6
STD22148,"L4S,SHOP,",10
STD22149,,23
STD22164,"F10H,",8
STD22169,"D2,",24
STD22170,"F10H,",3
STD22182,"F9F,",19
STD22208S,,15
STD22212,"F9S,L4S,N2M,P1,",6
STD22255,,30
STD22420,"M3S,P1,",7
STD22635,"M1,",14
STD22734A-B,"B3F,P1,",39
X-NG202A-24,,0
X-NG202B-24,,0
X-NG202C-24,,0
X-NG21005-12,,
X-NG21059-12,,
X-NG21066P,,0
X-NG21070D,,11
X-NG21072D,,0
X-NG21073C,,0
X-NG21073D,,0
X-NG21211-12,"UR7,",0
X-NG21235-48,,95
X-NG21249-1,,
X-NG21268-4,,0
X-NG21281D,,0
X-NG21293-6,,0
X-NG21297-1,,
X-NG21304-1A,,0
X-NG21304B-24,,0
X-NG21376A-24,,
X-NG21381-6,"D7,",9
X-NG21453,"N2H,",0
X-NG21460-6,"UR9,",6
X-NG21488-6,,0
X-NG21538-12,,0
X-NG21552A-10,"C7M,",0
X-NG21607-36,"D6,",0
X-NG21618,"D5,",0
X-NG21777-156,,0
X-NG21781-24,,0
X-NG22017-12,,
X-NG22208B,,
X-NG22266-1,,0
X-NG22348B,,0
X-NG22475,,0
X-NG22684,,
Y-NG22402,,0
Z-NG21854,,
