
A,1,2,3,4,5,6,7,8,9,10,11,12,13
M,,,NG21471-36(292),NG23372(220),NG22693(721),,NG23446(703),NG22626C(44),,,,,
M,,,NG23382A(76),Q-NG23372-462-1(0),NG22767(63),,R-NG21656-1(0),,,,,,
M,,,NG23435(604),Q-NG23372-462-2(0),R-NG22693(0),,R-NG23210(0),,,,,,
M,,,R-NG21471-36(0),R-NG23372(0),,,X-NG21552A-10(0),,,,,,
S,,NG21396-24(713),NG22693(721),NG22409(47),NG23372(220),NG23223(534),NG21766-12(849),NG22706(46),,,,,
S,,NG22338(1416),NG23469(116),NG23471(816),NG23474C(25),R-NG23223(0),NG22674(852),NG23437(120),,,,,
S,,NG22519B(482),NG23469C(54),R-NG23038(0),Q-NG23372-462-1(0),,R-NG21766-12(0),NG23477(2),,,,,
S,,NG23104(206),NG23470C(48),R-NG23471(0),Q-NG23372-462-2(0),,R-NG22674(0),R-NG22706(0),,,,,
S,,NG23210(344),R-NG22693(0),,R-NG23372(0),,,,,,,,
S,,R-NG22338(0),R-NG23469(0),,,,,,,,,,
S,,R-NG23210(0),,,,,,,,,,,
F,NG23050A(64),NG22714(438),R-NG21471-36(0),NG22513(777),NG22240(394),NG22481(258),NG22185-6(123),,NG21839-24(2088),,NG23359(-3),,
F,NG23050B(97),NG22923(584),,NG23403(287),NG22341(127),NG23028(261),NG22415(1564),,NG21957B(450),,R-NG21936(0),,
F,,NG22954(907),,R-NG22513(0),NG22350(3547),R-NG22481(0),NG22582(549),,NG22473(478),,,,
F,,Q-NG22714(0),,,R-NG22240(0),,NG23417(887),,Q-NG21839-24(0),,,,
F,,R-NG22714(579),,,R-NG22341(0),,R-NG22415(0),,R-NG21839-24(0),,,,
F,,R-NG22923(0),,,R-NG22350(0),,R-NG22582(0),,,,,,
F,,R-NG22954(0),,,,,R-NG23417(0),,,,,,

D,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,NG22240(394),NG22968(460),NG23376(0),NG21877B(1048),R-NG22914(0),,NG22136-24(193),NG21472B-36(4767),NG23057(1043),NG23142(119),,
H,,NG23217(24),NG23190(99),NG23376A(449),R-NG22338(0),,,R-NG22136-24(0),R-NG22481(0),,,,
H,,R-NG22240(0),NG23345(369),NG23376B(449),,,,,,,,,
H,,,R-NG22968(0),,,,,,,,,,
M,,NG22954(907),NG22068-12(955),NG23335(282),NG22247(4037),,NG22914(323),R-NG23057(0),NG22735(73),NG21134-24(1557),,,
M,,NG23104(206),R-NG22068-12(0),NG23336(258),NG22443(1204),,,,R-NG22640(0),NG21778(453),,,
M,,R-NG22954(0),,NG23420(-4),NG22686B(1368),,,,,,,,
M,,,,NG23420A(122),NG23479(-15),,,,,,,,
M,,,,NG23420B(101),R-NG22247(0),,,,,,,,
M,,,,NG23420C(120),R-NG22443(0),,,,,,,,
M,,,,NG23420D(122),,,,,,,,,
M,,,,R-NG22247(0),,,,,,,,,
S,,NG21104-12(500),NG22925(248),NG21840-36(112),NG21275-48(234),NG22686B(1368),NG21472B-36(4767),,NG22136-24(193),,,,
S,,NG22182-12-4(71),NG23057(1043),NG22686(1254),NG21276-48(1831),NG22968(460),NG21732(8),,NG22735(73),,,,
S,,NG22904(201),NG23180(322),NG23420(-4),NG21877B(1048),R-NG22968(0),NG21754B-24(302),,R-NG22136-24(0),,,,
S,,NG23229D(44),NG23217(24),NG23420A(122),NG22254(47),,,,,,,,
S,,NG23295(213),NG23294(910),NG23420B(101),NG22767(63),,,,,,,,
S,,Q-NG21477-12(0),NG23465(228),NG23420C(120),NG23336(258),,,,,,,,
S,,R-NG21477-12(0),R-NG22925(0),NG23420D(122),R-NG21276-48(0),,,,,,,,
S,,R-NG22182(0),R-NG23057(0),R-NG21840-36(0),,,,,,,,,
S,,R-NG22904(267),R-NG23180(0),R-NG22914(0),,,,,,,,,
S,,R-NG23295(0),R-NG23294(0),,,,,,,,,,
F,NG23385(620),NG21554A-20(0),NG21220-24(623),NG21055-24(450),NG22506(1115),NG207-24(63),NG22084(13),NG21778(453),NG21134-24(1557),NG21051-6(23),,,
F,R-NG23385(0),NG22083(10),NG22068-12(955),NG22247(4037),NG22914(323),NG207A-24(617),NG22443(1204),NG22740(-4),NG21203-24(1192),,,,
F,,R-NG23051(0),NG22099-12(729),NG22640(8),NG23170(354),NG207B-24(610),NG23320(204),NG23431(416),NG22154-24(350),,,,
F,,,NG22171A-12-2(284),NG23341(57),R-NG23170(0),NG207D-24(308),R-NG22443(0),,R-NG21203-24(0),,,,
F,,,NG22171B-12-2(249),NG23345(369),,NG22524(2083),,,,,,,
F,,,Q-NG22099-12(0),R-NG21055-24(0),,NG22524-K(144),,,,,,,
F,,,R-NG21220-24(0),R-NG22247(0),,NG22524-P(144),,,,,,,
F,,,R-NG22068-12(0),,,NG23190(99),,,,,,,
F,,,R-NG22099-12(0),,,R-NG22524(0),,,,,,,
F,,,R-NG23051(0),,,,,,,,,,

E,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,,,NG21653-12(2400),,NG23197(856),,NG22549(96),NG23483(318),,,,
H,,,,R-NG21302-1(0),,Q-NG21899-1(0),,NG23407(171),NG23483A(481),,,,
H,,,,R-NG21653-12(0),,R-NG21899-1(0),,R-NG21652(0),NG23483B(482),,,,
H,,,,,,,,,NG23539(0),,,,
H,,,,,,,,,NG23539A(162),,,,
M,,NG21656-1(482),,R-NG22751(1071),NG21115-48(1776),NG23174A(174),NG22405(1199),,,NG21899-1(198),,,
M,,R-NG21656-1(0),,,Q-NG21115-48(0),NG23174B(172),NG23334(266),,,,,,
M,,,,,R-NG21115-48(0),NG23375(0),NG23365(1076),,,,,,
M,,,,,,NG23375A(196),NG23375(0),,,,,,
M,,,,,,,NG23375B(200),,,,,,
M,,,,,,,NG23458(-36),,,,,,
M,,,,,,,NG23458A(1694),,,,,,
M,,,,,,,NG23458B(1674),,,,,,
M,,,,,,,R-NG22405(0),,,,,,
M,,,,,,,R-NG23365(0),,,,,,
S,,NG21656-1(482),NG22549(96),NG23199(912),NG23239A(274),R-NG21613-12(0),NG21031-24(136),,,,,,
S,,NG21658(672),,NG23286(315),NG23358(109),,NG21115-48(1776),,,,,,
S,,NG23236(1614),,NG23365(1076),R-NG23239A(0),,NG21652(0),,,,,,
S,,R-NG21656-1(0),,NG23375(0),,,NG23242(118),,,,,,
S,,R-NG21658(0),,NG23375A(196),,,R-NG21031-24(0),,,,,,
S,,R-NG23236(0),,NG23375B(200),,,R-NG21652(0),,,,,,
S,,,,NG23382A(76),,,,,,,,,
S,,,,R-NG23199(0),,,,,,,,,
S,,,,R-NG23286(0),,,,,,,,,
S,,,,R-NG23365(0),,,,,,,,,
F,,NG21302-1(997),NG21413-24(1296),NG23174A(174),Q-NG21115-48(0),NG21613-12(609),NG21899-1(198),NG21726-1(0),,NG22405(1199),,,
F,,NG23239(756),NG21653-12(2400),NG23174B(172),R-NG21115-48(0),NG22751(375),NG23173(936),NG22359(127),,R-NG22405(0),,,
F,,R-NG21302-1(0),NG23198(27),NG23197(856),,NG23179(754),Q-NG21899-1(0),NG23242A(12),,,,,
F,,,R-NG21413-24(0),NG23204A(155),,R-NG22751(1071),R-NG21899-1(0),NG23438(1464),,,,,
F,,,R-NG21653-12(0),,,R-NG23179(0),R-NG23173(1164),NG23438A(0),,,,,
F,,,,,,,,NG23438B(0),,,,,
F,,,,,,,,NG23438C(0),,,,,
F,,,,,,,,NG23483(318),,,,,
F,,,,,,,,NG23483A(481),,,,,
F,,,,,,,,NG23483B(482),,,,,
F,,,,,,,,R-NG22359(0),,,,,
F,,,,,,,,R-NG23438(0),,,,,

F,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,,,NG22520-K(3),,NG23197(856),,R-NG22212(0),NG21307-24(2198),STD22164(8),,,
H,,,,NG22520-P(11),,,,,NG22431(103),STD22170(3),,,
H,,,,NG23221A(822),,,,,NG23145(222),,,,
H,,,,R-NG23221(0),,,,,R-NG21307-24(0),,,,
H,,,,R-NG23221A(0),,,,,R-NG21307-8(0),,,,
H,,,,,,,,,R-NG22431(0),,,,
M,,NG23403(287),,R-NG23255(0),,NG21887-36(958),,,,,,,
M,,,,,,NG22524(2083),,,,,,,
M,,,,,,NG22524-K(144),,,,,,,
M,,,,,,NG22524-P(144),,,,,,,
M,,,,,,NG23173(936),,,,,,,
M,,,,,,NG23179(754),,,,,,,
M,,,,,,R-NG21887-36(0),,,,,,,
M,,,,,,R-NG22524(0),,,,,,,
M,,,,,,R-NG23173(1164),,,,,,,
M,,,,,,R-NG23179(0),,,,,,,
