
A,1,2,3,4,5,6,7,8,9,10,11,12,13
H,NG22074F(27),,,,R-NG21085-12(0),,,,,,,,
H,NG22074G(11),,,,,,,,,,,,
H,NG22074H(6),,,,,,,,,,,,
H,NG23140B(281),,,,,,,,,,,,
M,NG23140A(54),,,,,,,,,,,,
S,,,,F-NG22149(0),,,NG21283E(0),,,,,,
S,,,,NG21074C(88),,,,,,,,,
S,,,,NG21075D(28),,,,,,,,,
S,,,,NG21075E(20),,,,,,,,,
S,,,,NG21076A(83),,,,,,,,,
S,,,,NG21076C(60),,,,,,,,,
S,,,,NG21076E(27),,,,,,,,,
S,,,,NG21440-24(422),,,,,,,,,
S,,,,NG22001A-F(323),,,,,,,,,
S,,,,NG22148A-F(33),,,,,,,,,
S,,,,Q-NG21440-24(0),,,,,,,,,
S,,,,R-NG21440-24(0),,,,,,,,,
S,,,,R-NG22001A-F(407),,,,,,,,,
S,,,,R-NG22148A-F(0),,,,,,,,,
S,,,,STD22148(10),,,,,,,,,
S,,,,STD22212(6),,,,,,,,,
F,NG21986-24(0),,,NG22115A(74),NG21083-12(268),,,,,,,,
F,NG23486A(75),,,NG22115B(33),NG21085-12(1271),,,,,,,,
F,NG23486B(69),,,NG22115C(48),NG22126-12(282),,,,,,,,
F,,,,NG22115D(11),NG22127A(439),,,,,,,,
F,,,,NG22115E(48),NG22127F(87),,,,,,,,
F,,,,STD22115(6),NG22168A(12),,,,,,,,
F,,,,,Q-NG21083-12(0),,,,,,,,
F,,,,,Q-NG21085-12(0),,,,,,,,
F,,,,,Q-NG22126(0),,,,,,,,
F,,,,,R-NG21083-12(0),,,,,,,,
F,,,,,R-NG21085-12(0),,,,,,,,
F,,,,,STD22012(23),,,,,,,,
F,,,,,STD22062(4),,,,,,,,

M,1,2,3,4,5,6,7,8,9,10,11,12,13

S,,,STD22420(7),,,,,,,,,,
F,,NG22074-8(40),,,,,,,,,,,
F,,NG22074A(18),,,,,,,,,,,
F,,NG22074B(27),,,,,,,,,,,
F,,NG22074C(27),,,,,,,,,,,
F,,NG22074D(27),,,,,,,,,,,
F,,NG22074E(27),,,,,,,,,,,
F,,NG22074F(27),,,,,,,,,,,
F,,NG22074G(11),,,,,,,,,,,
F,,NG22074H(6),,,,,,,,,,,

N,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,X-NG21453(0),NG21981A-10(395),,,,,,,,,,
H,,,NG21981B-10(321),,,,,,,,,,
M,NG23134(429),F-NG22149(0),NG23133(164),NG21477-12(636),,,,,,,,,
M,,NG21139-24(33),NG23134(429),,,,,,,,,,
M,,NG21746-24(0),NG23135(92),,,,,,,,,,
M,,NG21811(80),,,,,,,,,,,
M,,NG22212(569),,,,,,,,,,,
M,,Q-NG21139-24(0),,,,,,,,,,,
M,,R-NG21139-24(0),,,,,,,,,,,
M,,R-NG21746-24(0),,,,,,,,,,,
M,,R-NG22212(0),,,,,,,,,,,
M,,R-NG22212-3(0),,,,,,,,,,,
M,,STD22212(6),,,,,,,,,,,
F,NG21157-12(106),NG24011-12(268),,STD21074S(221),,,,,,,,,
F,Q-NG21157-12(0),R-NG24011-12(0),,,,,,,,,,,
F,R-NG21157-12(0),,,,,,,,,,,,

O,1,2,3,4,5,6,7,8,9,10,11,12,13

S,,NG22170A-12(1137),,,,,,,,,,,
S,,NG22170B-12(553),,,,,,,,,,,
S,,NG22170C-12(434),,,,,,,,,,,
S,,NG22170D-12(553),,,,,,,,,,,
S,,NG22170E-12(832),,,,,,,,,,,
S,,NG22170F-12(479),,,,,,,,,,,
S,,NG22170G-12(435),,,,,,,,,,,
S,,NG22170H-12(645),,,,,,,,,,,
S,,NG22170I-12(1188),,,,,,,,,,,
S,,NG22170J-12(445),,,,,,,,,,,
S,,NG22170K-12(507),,,,,,,,,,,
S,,NG22170L-12(1191),,,,,,,,,,,
S,,NG22170M-12(770),,,,,,,,,,,
S,,NG22170N-12(207),,,,,,,,,,,
S,,NG22170O-12(473),,,,,,,,,,,
S,,NG22170P-12(465),,,,,,,,,,,
S,,NG22170Q-12(263),,,,,,,,,,,
S,,NG22170R-12(430),,,,,,,,,,,
S,,NG22170S-12(640),,,,,,,,,,,
S,,NG22170T-12(778),,,,,,,,,,,
S,,NG22170U-12(339),,,,,,,,,,,
S,,NG22170V-12(438),,,,,,,,,,,
S,,NG22170W-12(496),,,,,,,,,,,
S,,NG22170X-12(497),,,,,,,,,,,
S,,NG22170Y-12(826),,,,,,,,,,,
S,,NG22170Z-12(227),,,,,,,,,,,
S,,R-NG22170(0),,,,,,,,,,,

P,1,2,3,4,5,6,7,8,9,10,11,12,13

